,class,count,sum,aspect,elevation_below,year,state,percent_snow_cover,km2_snow,km2_all
27,45_2400,1290,0,45,2400,2021,Kärnten,0.0,0.0,12.900000000000002
28,180_3300,36,11,180,3300,2021,Kärnten,0.3055555555555556,0.11000000000000001,0.3600000000000001
29,180_1800,4488,0,180,1800,2021,Kärnten,0.0,0.0,44.88000000000001
30,0_2800,328,45,0,2800,2021,Kärnten,0.13719512195121952,0.45000000000000007,3.2800000000000007
31,135_4000,0,0,135,4000,2021,Kärnten,,0.0,0.0
32,135_2500,1495,6,135,2500,2021,Kärnten,0.004013377926421404,0.06000000000000001,14.950000000000003
33,0_2000,2795,1,0,2000,2021,Kärnten,0.00035778175313059033,0.010000000000000002,27.950000000000006
34,90_2300,1781,7,90,2300,2021,Kärnten,0.0039303761931499155,0.07,17.810000000000002
35,315_2200,1699,1,315,2200,2021,Kärnten,0.0005885815185403178,0.010000000000000002,16.990000000000002
36,315_4500,0,0,315,4500,2021,Kärnten,,0.0,0.0
37,270_2400,1152,0,270,2400,2021,Kärnten,0.0,0.0,11.520000000000003
38,225_1600,5267,0,225,1600,2021,Kärnten,0.0,0.0,52.67000000000001
39,225_3100,165,86,225,3100,2021,Kärnten,0.5212121212121212,0.8600000000000002,1.6500000000000004
40,225_2800,635,25,225,2800,2021,Kärnten,0.03937007874015748,0.25000000000000006,6.350000000000001
41,180_4500,0,0,180,4500,2021,Kärnten,,0.0,0.0
42,180_2200,2732,0,180,2200,2021,Kärnten,0.0,0.0,27.320000000000004
43,45_3500,18,8,45,3500,2021,Kärnten,0.4444444444444444,0.08000000000000002,0.18000000000000005
44,135_3700,1,0,135,3700,2021,Kärnten,0.0,0.0,0.010000000000000002
45,0_1700,4700,1,0,1700,2021,Kärnten,0.0002127659574468085,0.010000000000000002,47.00000000000001
46,90_3500,13,10,90,3500,2021,Kärnten,0.7692307692307693,0.10000000000000002,0.13000000000000003
47,0_3200,51,27,0,3200,2021,Kärnten,0.5294117647058824,0.2700000000000001,0.5100000000000001
